NSID	W8HHMID	W8DCHSEX	W8HHMDOBM	W8HHMDOBY	W8DHHMAGE	W8RAGE	W8RELTOKEY
NS10729F	1	2	7	1993	22	-1	17
NS10729F	2	1	3	1992	24	-1	23
NS10732S	1	1	2	2009	7	-1	4
NS10735W	1	1	-9	-9	-1	60	1
NS10735W	2	2	-9	-9	-1	52	1
NS10735W	3	2	-9	-9	-1	21	8
NS10735W	4	2	-9	-9	-1	20	8
NS10746R	1	1	3	1962	53	-1	1
NS10746R	2	2	3	1962	53	-1	1
NS10746R	3	1	3	1994	21	-1	8
NS10752G	1	2	12	1951	64	-1	1
NS10752G	2	1	7	1950	65	-1	1
NS10762B	1	2	4	1986	30	-1	8
NS10762B	2	1	-9	-9	-1	-8	23
NS10762B	3	1	-9	-9	-1	-8	15
NS10762B	4	2	-9	-9	-1	-8	15
NS10762B	5	2	-9	-9	-1	-8	15
NS10765E	1	2	1	2002	14	-1	6
NS10773X	1	2	2	1962	54	-1	1
NS10773X	2	1	5	1963	52	-1	1
NS10773X	3	2	5	1988	28	-1	8
NS10775Z	1	2	4	1965	50	-1	1
NS10775Z	2	1	6	1994	21	-1	8
NS10777B	1	1	-9	-9	-1	65	1
NS10779D	1	2	-9	-9	-1	52	1
NS10779D	2	1	-9	-9	-1	60	1
NS10779D	3	2	2	1999	16	-1	8
NS10781P	1	1	-9	-9	-1	-8	1
NS10781P	2	2	-9	-9	-1	-8	1
NS10788X	1	1	-9	-9	-1	-9	1
NS10788X	2	2	-9	-9	-1	-9	1
NS10788X	3	1	-9	-9	-1	-9	8
NS10791J	1	1	6	1958	57	-1	1
NS10791J	2	2	3	1962	53	-1	1
NS10792K	1	2	-9	-9	-1	68	5
NS10792K	2	1	-9	-9	-1	70	5
NS10792K	3	1	-9	-9	-1	38	13
NS10792K	4	2	-9	-9	-1	33	13
NS10794M	1	1	3	1967	49	-1	1
NS10794M	2	2	12	1966	49	-1	1
NS10802L	1	2	10	1956	59	-1	1
NS10802L	2	1	10	1985	30	-1	23
NS10802L	3	1	3	2005	10	-1	12
NS10811E	1	2	6	1966	49	-1	1
NS10811E	2	1	3	1997	18	-1	8
NS10816K	1	1	1	1956	60	-1	1
NS10816K	2	2	8	1956	59	-1	1
NS10833W	1	2	-9	-9	-1	51	1
NS10833W	2	1	-9	-9	-1	53	4
NS10835Y	1	2	4	1962	53	-1	1
NS10835Y	2	1	3	1961	54	-1	1
