NSID	W5JHAct	W5ActivityIteration	W5JHStY	W5JHStM	W5JHStYDK	W5FinCour	W5IfNoted_1	W5IfNoted_2	W5IfNoted_3	W5IfNoted_4	W5IfNoted_5	W5IfNoted_6	W5IfNoted_7	W5IfNotedO_1	W5IfNotedO_2	W5IfNotedO_3	W5IfNotedO_4	W5IfNotedO_5	W5IfNotedO_6	W5IfNotedO_7	W5IfNotedO_8	W5IfNotedO_9	W5IfNotedO_10	W5AndWhich	W5JHStop	W5JHLeav_1	W5JHLeav_2	W5JHLeav_3	W5JHLeav_4	W5JHLeav_5	W5JHChoose_1	W5JHChoose_2	W5JHChoose_3	W5JHChoose_4	W5JHChoose_5
NS10129S	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10130C	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10131D	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10134G	1	1	2	9	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10137K	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10138L	1	1	1	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10139M	1	1	2	9	-91	2	2	2	2	2	1	2	1	0	0	0	0	0	1	0	0	0	0	7	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10140X	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10141Y	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10143A	-99	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10144B	1	1	2	9	-91	2	2	2	2	2	2	2	1	0	0	0	0	0	0	0	1	0	0	7	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
