NSID	W8HISTID	W8HIST	W8WORKHRSP	W8STUDYHRSP	W8USUALP	W8SICKHRSP	W8HISTSTPM	W8HISTSTPY	W8DACTIVITYP
NS10307F	6	1	1	-1	-1	-1	5	2013	1
NS10307F	7	1	1	-1	-1	-1	3	2013	1
NS10307F	8	1	2	-1	-1	-1	6	2012	2
NS10307F	9	5	-1	1	3	-1	9	2009	6
NS10309H	1	3	2	-1	-1	-1	1	2014	11
NS10309H	2	5	-1	1	3	-1	10	2010	6
NS10309H	3	5	-1	1	2	-1	9	2009	6
NS10309H	4	5	-1	1	2	-1	9	2008	6
NS10309H	5	5	-1	1	2	-1	9	2007	6
NS10309H	6	5	-1	1	2	-1	9	2006	6
NS10312V	1	5	-1	1	3	-1	9	2008	6
NS10314X	1	1	1	-1	-1	-1	6	2013	1
NS10314X	2	4	-1	-1	-1	-1	6	2005	5
NS10315Y	1	1	1	-1	-1	-1	12	2014	1
NS10315Y	2	1	1	-1	-1	-1	3	2014	1
NS10315Y	3	4	-1	-1	-1	-1	12	2013	5
NS10315Y	4	1	1	-1	-1	-1	5	2012	1
NS10315Y	5	1	1	-1	-1	-1	3	2010	1
NS10317A	1	5	-1	1	3	-1	9	2008	6
NS10322P	1	1	2	-1	-1	-1	2	2008	2
NS10328W	1	1	1	-1	-1	-1	5	2011	1
NS10328W	2	5	-1	1	3	-1	9	2008	6
NS10336N	1	1	1	-1	-1	-1	8	2012	1
NS10336N	2	5	-1	1	3	-1	9	2009	6
NS10343E	1	5	-1	1	3	-1	10	2009	6
NS10346H	1	1	2	-1	-1	-1	4	2009	2
NS10350W	1	4	-1	-1	-1	-1	8	2009	5
NS10352Y	1	1	1	-1	-1	-1	9	2013	1
NS10352Y	2	5	-1	1	3	-1	9	2009	6
NS10354A	1	4	-1	-1	-1	-1	7	2015	5
NS10354A	2	1	1	-1	-1	-1	7	2013	1
NS10354A	3	1	1	-1	-1	-1	11	2012	1
NS10354A	4	1	1	-1	-1	-1	5	2011	1
NS10354A	5	5	-1	1	3	-1	9	2008	6
NS10355B	1	1	1	-1	-1	-1	9	2011	1
NS10355B	2	5	-1	1	3	-1	9	2008	6
NS10357D	1	5	-1	1	4	-1	9	2013	6
NS10357D	2	1	1	-1	-1	-1	2	2012	1
NS10357D	3	1	2	-1	-1	-1	8	2011	2
NS10357D	4	5	-1	1	3	-1	9	2008	6
NS10358E	1	1	2	-1	-1	-1	6	2006	2
NS10362S	1	1	1	-1	-1	-1	9	2011	1
NS10362S	2	5	-1	1	3	-1	10	2008	6
NS10363T	1	5	-1	1	3	-1	9	2009	6
NS10364V	1	1	1	-1	-1	-1	9	2012	1
NS10364V	2	4	-1	-1	-1	-1	7	2012	5
NS10364V	3	5	-1	1	3	-1	9	2009	6
NS10364V	4	10	-1	-1	-1	-1	2	2009	14
NS10364V	5	1	2	-1	-1	-1	7	2008	2
NS10365W	1	4	-1	-1	-1	-1	11	2012	5
NS10365W	2	1	2	-1	-1	-1	9	2006	2
NS10374P	1	1	1	-1	-1	-1	9	2011	1
NS10374P	2	1	1	-1	-1	-1	1	2010	1
NS10374P	3	1	1	-1	-1	-1	9	2007	1
NS10374P	4	4	-1	-1	-1	-1	6	2006	5
NS10375Q	1	1	1	-1	-1	-1	7	2015	1
NS10375Q	2	4	-1	-1	-1	-1	5	2015	5
NS10375Q	3	10	-1	-1	-1	-1	2	2015	14
NS10375Q	4	1	1	-1	-1	-1	11	2014	1
NS10375Q	5	1	1	-1	-1	-1	7	2014	1
NS10375Q	6	1	1	-1	-1	-1	10	2013	1
NS10375Q	7	10	-1	-1	-1	-1	10	2012	14
NS10375Q	8	1	1	-1	-1	-1	10	2010	1
NS10375Q	9	5	-1	2	2	-1	9	2008	7
NS10381F	1	5	-1	1	2	-1	9	2014	6
NS10381F	2	5	-1	1	2	-1	9	2013	6
NS10381F	3	9	-1	-1	-1	-1	12	2010	13
NS10381F	4	1	1	-1	-1	-1	1	2008	1
NS10381F	5	4	-1	-1	-1	-1	10	2006	5
NS10381F	6	5	-1	1	1	-1	9	2002	6
NS10384J	1	5	-1	1	2	-1	9	2013	6
NS10384J	2	2	1	-1	-1	-1	8	2008	3
NS10384J	3	1	1	-1	-1	-1	1	2007	1
NS10387M	1	1	1	-1	-1	-1	7	2008	1
NS10387M	2	5	-1	1	1	-1	9	2001	6
NS10388N	1	5	-1	1	3	-1	9	2008	6
NS10391A	1	5	-1	1	3	-1	9	2008	6
NS10393C	1	1	1	-1	-1	-1	4	2011	1
NS10393C	2	5	-1	1	3	-1	9	2008	6
NS10394D	1	1	1	-1	-1	-1	7	2012	1
NS10394D	2	1	1	-1	-1	-1	5	2012	1
NS10394D	3	1	2	-1	-1	-1	8	2007	2
NS10396F	1	3	1	-1	-1	-1	7	2011	11
NS10396F	2	5	-1	1	3	-1	9	2008	6
NS10397G	1	1	1	-1	-1	-1	11	2006	1
NS10401B	1	1	1	-1	-1	-1	3	2015	1
NS10401B	2	1	1	-1	-1	-1	1	2014	1
NS10401B	3	1	1	-1	-1	-1	9	2013	1
NS10401B	4	1	1	-1	-1	-1	8	2012	1
NS10401B	5	1	1	-1	-1	-1	8	2009	1
NS10401B	6	1	1	-1	-1	-1	9	2008	1
NS10401B	7	1	2	-1	-1	-1	6	2006	2
NS10402C	1	1	1	-1	-1	-1	7	2015	1
NS10402C	2	1	1	-1	-1	-1	7	2015	1
NS10402C	3	1	2	-1	-1	-1	7	2015	2
NS10402C	4	5	-1	1	3	-1	9	2014	6
NS10402C	5	4	-1	-1	-1	-1	9	2012	5
NS10402C	6	5	-1	1	3	-1	9	2008	6
NS10406G	1	1	1	-1	-1	-1	11	2012	1
NS10406G	2	1	2	-1	-1	-1	8	2010	2
NS10406G	3	5	-1	1	3	-1	9	2009	6
NS10407H	1	4	-1	-1	-1	-1	6	2012	5
NS10407H	2	5	-1	1	3	-1	9	2008	6
NS10409K	1	1	1	-1	-1	-1	3	2012	1
NS10409K	2	5	-1	1	3	-1	9	2008	6
NS10411W	1	1	1	-1	-1	-1	3	2014	1
NS10411W	2	1	1	-1	-1	-1	7	2012	1
NS10411W	3	5	-1	1	3	-1	10	2008	6
NS10411W	4	5	-1	1	1	-1	9	2001	6
NS10413Y	1	5	-1	2	3	-1	9	2012	7
NS10413Y	2	5	-1	1	3	-1	9	2009	6
NS10413Y	3	5	-1	1	2	-1	9	2006	6
NS10414Z	1	1	2	-1	-1	-1	7	2014	2
NS10414Z	2	4	-1	-1	-1	-1	-8	-8	5
NS10415A	1	1	2	-1	-1	-1	4	2008	2
NS10420P	1	1	1	-1	-1	-1	6	2011	1
NS10420P	2	5	-1	1	3	-1	9	2008	6
NS10421Q	1	4	-1	-1	-1	-1	12	2009	5
NS10421Q	2	10	-1	-1	-1	-1	12	2009	14
NS10421Q	3	10	-1	-1	-1	-1	-8	-8	14
NS10423S	1	1	2	-1	-1	-1	6	2007	2
NS10424T	1	1	1	-1	-1	-1	6	2011	1
NS10424T	2	5	-1	1	3	-1	9	2008	6
NS10426W	1	1	1	-1	-1	-1	2	2015	1
NS10426W	2	1	1	-1	-1	-1	6	2012	1
NS10426W	3	1	1	-1	-1	-1	1	2010	1
NS10427X	1	1	1	-1	-1	-1	7	2012	1
NS10427X	2	5	-1	1	3	-1	9	2009	6
NS10430J	1	1	1	-1	-1	-1	6	2013	1
NS10430J	2	1	1	-1	-1	-1	1	2013	1
NS10430J	3	1	1	-1	-1	-1	4	2012	1
NS10430J	4	1	1	-1	-1	-1	4	2011	1
NS10430J	5	1	2	-1	-1	-1	6	2006	2
NS10431K	1	5	-1	1	3	-1	9	2009	6
NS10434N	1	1	1	-1	-1	-1	1	2011	1
NS10434N	2	5	-1	1	3	-1	9	2008	6
NS10436Q	1	1	1	-1	-1	-1	12	2013	1
NS10436Q	2	5	-1	1	3	-1	9	2009	6
NS10437R	1	1	1	-1	-1	-1	9	2011	1
NS10437R	2	5	-1	1	3	-1	9	2008	6
NS10440D	1	1	1	-1	-1	-1	3	2013	1
NS10440D	2	1	2	-1	-1	-1	4	2012	2
NS10440D	3	10	-1	-1	-1	-1	4	2006	14
NS10444H	1	2	1	-1	-1	-1	8	2015	3
NS10444H	2	5	-1	1	3	-1	10	2012	6
NS10444H	3	5	-1	1	2	-1	9	2008	6
NS10444H	4	5	-1	1	1	-1	9	2003	6
NS10447L	1	1	1	-1	-1	-1	1	2011	1
NS10447L	2	5	-1	1	3	-1	9	2010	6
NS10447L	3	5	-1	1	2	-1	9	2009	6
NS10457F	1	1	1	-1	-1	-1	10	2008	1
NS10458G	1	1	1	-1	-1	-1	7	2012	1
NS10458G	2	5	-1	1	3	-1	9	2009	6
NS10458G	3	5	-1	1	2	-1	9	2006	6
NS10459H	1	5	-1	1	3	-1	9	2008	6
NS10460S	1	1	2	-1	-1	-1	11	2010	2
NS10460S	2	1	1	-1	-1	-1	4	2010	1
NS10460S	3	1	2	-1	-1	-1	12	2009	2
NS10460S	4	1	2	-1	-1	-1	6	2006	2
NS10461T	1	1	1	-1	-1	-1	9	2008	1
NS10463W	1	5	-1	1	3	-1	9	2009	6
NS10463W	2	5	-1	1	1	-1	9	2001	6
NS10465Y	1	1	1	-1	-1	-1	9	2008	1
NS10468B	1	1	2	-1	-1	-1	-8	-8	2
NS10472P	1	5	-1	1	3	-1	9	2008	6
NS10474R	1	5	-1	1	3	-1	10	2009	6
NS10475S	1	1	1	-1	-1	-1	9	2012	1
NS10475S	2	5	-1	1	3	-1	9	2009	6
NS10475S	3	1	1	-1	-1	-1	9	2008	1
NS10476T	1	5	-1	1	3	-1	9	2008	6
NS10477V	1	1	1	-1	-1	-1	6	2010	1
NS10478W	1	4	-1	-1	-1	-1	9	2008	5
NS10482J	1	1	1	-1	-1	-1	12	2009	1
NS10482J	2	5	-1	1	2	-1	9	2006	6
NS10483K	1	1	2	-1	-1	-1	7	2008	2
NS10485M	1	1	1	-1	-1	-1	9	2013	1
NS10485M	2	4	-1	-1	-1	-1	8	2009	5
NS10488Q	1	5	-1	1	3	-1	9	2009	6
NS10494F	1	1	1	-1	-1	-1	8	2013	1
NS10494F	2	8	-1	-1	-1	2	6	2012	10
NS10494F	3	1	1	-1	-1	-1	9	2010	1
NS10496H	1	1	1	-1	-1	-1	9	2013	1
NS10496H	2	5	-1	1	3	-1	10	2009	6
NS10504G	1	5	-1	1	3	-1	9	2013	6
NS10504G	2	1	2	-1	-1	-1	11	2012	2
NS10504G	3	1	1	-1	-1	-1	7	2011	1
NS10504G	4	5	-1	1	3	-1	9	2008	6
NS10506J	1	1	2	-1	-1	-1	9	2013	2
NS10506J	2	6	1	-1	-1	-1	1	2010	12
NS10507K	1	1	2	-1	-1	-1	12	2015	2
NS10507K	2	5	-1	1	2	-1	10	2014	6
NS10507K	3	5	-1	2	2	-1	9	2013	7
NS10507K	4	3	2	-1	-1	-1	11	2012	11
NS10507K	5	3	2	-1	-1	-1	8	2011	11
NS10507K	6	4	-1	-1	-1	-1	8	2010	5
