NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10078M	2	1	2011	10	8	1	11	2015
NS10078M	3	1	2010	1	8	1	11	2015
NS10078M	4	4	-8	-8	7	1	5	2010
NS10078M	5	1	-8	-8	7	1	5	2010
NS10078M	6	1	-6	-1	6	1	5	2009
NS10078M	7	5	2006	8	5	1	6	2008
NS10078M	8	1	2006	-2	4	1	7	2007
NS10079N	1	3	-7	-7	7	1	6	2010
NS10079N	2	3	2008	7	6	1	6	2009
NS10079N	3	2	-6	-1	6	1	6	2009
NS10079N	4	2	2006	9	5	1	6	2008
NS10079N	5	2	2006	-2	4	1	7	2007
NS10080Y	1	4	2006	-2	4	1	8	2007
NS10083B	1	3	2006	9	8	1	6	2016
NS10085D	1	3	2015	8	8	1	1	2016
NS10085D	2	3	2008	5	8	1	1	2016
NS10085D	3	2	2006	9	8	1	1	2016
NS10085D	4	2	2007	9	4	1	9	2007
NS10085D	5	6	2007	2	4	1	9	2007
NS10085D	6	6	2006	7	4	1	9	2007
NS10086E	1	1	2013	1	8	1	11	2015
NS10086E	2	2	2009	9	8	1	11	2015
NS10086E	3	2	-8	-8	7	1	6	2010
NS10086E	4	2	-6	-1	6	1	6	2009
NS10086E	5	2	2006	9	5	1	6	2008
NS10086E	6	2	2006	-2	4	1	9	2007
NS10087F	1	2	-5	-1	5	1	8	2008
NS10087F	2	2	2006	-2	4	1	6	2007
NS10088G	1	2	-7	-7	7	1	7	2010
NS10088G	2	2	2008	9	6	1	6	2009
NS10088G	3	6	2007	9	5	1	6	2008
NS10088G	4	2	-5	-1	5	1	6	2008
NS10088G	5	2	2006	-2	4	1	7	2007
NS10089H	1	1	-8	-8	7	1	6	2010
NS10089H	2	2	-8	-8	7	1	6	2010
NS10089H	3	2	2008	9	6	1	6	2009
NS10089H	4	2	-6	-1	6	1	6	2009
NS10089H	5	2	2006	9	5	1	7	2008
NS10089H	6	2	2006	-2	4	1	7	2007
NS10090S	1	1	2015	4	8	1	9	2015
NS10090S	2	1	2013	8	8	1	9	2015
NS10090S	3	2	2012	4	8	1	9	2015
NS10090S	4	1	2007	4	8	1	9	2015
NS10090S	5	5	-7	-7	7	1	6	2010
NS10090S	6	5	2007	4	6	1	9	2009
NS10090S	7	5	2007	4	5	1	6	2008
NS10090S	8	5	2007	4	4	1	7	2007
NS10090S	9	2	2006	9	4	1	7	2007
NS10091T	1	3	-8	-8	7	1	6	2010
NS10091T	2	5	-8	-8	7	1	6	2010
NS10091T	3	5	2009	6	6	1	6	2009
NS10091T	4	4	-6	-1	6	1	6	2009
NS10091T	5	2	2006	9	5	1	6	2008
NS10091T	6	2	2006	-2	4	1	7	2007
NS10092V	1	1	-8	-8	7	1	9	2010
NS10092V	2	3	-8	-8	7	1	9	2010
NS10092V	3	1	-8	-8	7	1	9	2010
NS10092V	4	1	2008	7	6	1	6	2009
NS10092V	5	1	2008	4	5	1	8	2008
NS10092V	6	1	-5	-1	5	1	8	2008
NS10092V	7	1	2006	-2	4	1	6	2007
NS10093W	1	1	2008	11	8	1	2	2016
