NSID	W1mainres	W1secores	W1histres	W2mainres	W2secores	W2histres	W1motherID	W1fatherID	W2motherID	W2fatherID	W1sampborHS	W1sampbo2HS	W2sampborHS	W2sampbo2HS	W1nurschHS	W1numsch	W1inyrmov	W2numsch	W2inyrmov	W1curparyHS	W1eversepHS	W1expart2HS	W1expart1HS	W1livesepHS	W2curparyHS	W2eversepHS	W2expart2HS	W2expart1HS	W2livesepHS	W1everspf	W1WhenSpf	W1yearsspf	W1Partners	W2everspf	W2WhenSpf	W2yearsspf	W2Partners	SpfBth	mbirthag	birthwb	BirthWa1	BirthWa2	bwtkg	birthw2	birthw3	wksearly	wtcheck	Femps5	Memps5	MRetwrk	MRetptft	W1duruntotMP	W1duruntot5MP	W1duruntot10MP	W1duruntotSP	W1duruntot5SP	W1duruntot10SP	W1duruntotmum	W1duruntot5mum	W1duruntot10mum	W1duruntotdad	W1duruntot5dad	W1duruntot10dad	W2duruntotMP	W2duruntot5MP	W2duruntot10MP	W2duruntotSP	W2duruntot5SP	W2duruntot10SP	W2duruntotmum	W2duruntot5mum	W2duruntot10mum	W2duruntotdad	W2duruntot5dad	W2duruntot10dad
NS14330P	6	7	7	-992	-992	-992	7	6	-992	-992	1	-91	-992	-992	1	3	0	3	0	20	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	4	-91	7	0	3.18	3	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS18413N	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	2	2	1	2	1	-91	-91	-91	-91	2	-91	-997	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	2	-91	8	2	3.69	1	-91	0	0	3	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS16595H	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	7	2	-92	-91	2	-91	2	-91	-91	2	1	0	8	1	1	0	8	1	1	2	-91	7	2	3.23	2	1	1	0	-98	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS24724S	2	3	2	-992	-992	-992	2	3	-992	-992	1	-91	-992	-992	1	3	0	3	0	16	2	2	-91	2	-992	-992	-992	-992	-992	0	-91	0	-91	-992	-992	-992	-992	0	3	-91	7	3	3.26	3	1	0	0	3	10	5	2	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS14701Q	3	2	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	15	3.6	3	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS12237D	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	3	1	4	2	-91	-91	-91	1	2	-91	-91	-91	2	2	-94	0	-94	2	1	0	3	2	1	4	-91	6	1	2.75	2	2	2	0	-98	2	0	2	-94	-94	-94	-98	-98	-98	-94	-94	-94	-98	-98	-98	-94	-94	-94	-98	-98	-98	-94	-94	-94	-98	-98	-98
NS10438S	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	12	2	2	-91	2	-91	2	-91	-91	2	1	0	3	1	1	0	3	1	1	4	-91	10	8	4.76	1	-91	0	0	3	10	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15805S	2	3	3	3	2	3	3	2	3	2	2	1	-91	-91	1	3	0	3	0	19	1	2	-91	1	-91	2	-91	-91	2	1	-91	1	-91	1	-91	1	-91	0	3	3.9	-91	-91	3.9	1	-91	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20111Z	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	4	3.29	1	-91	0	0	1	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS17056Q	2	-98	2	2	7	2	2	-98	2	9	-99	-99	1	-91	-99	2	0	2	0	-99	-99	-99	-99	-99	21	1	2	-91	2	-99	-99	-99	-99	1	-91	0	1	-99	3	-94	-1	-94	-1	1	-94	0	-91	-98	-98	-98	-98	-99	-99	-99	-98	-98	-98	-99	-99	-99	-98	-98	-98	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
