NSID	W8CHID	W8NCHSEX	W8NCHDOBM	W8NCHDOBY	W8NCHRAGE	W8DNCHRAGE	W8NCHREL	W8NCHRELP	W8PARNAME	W8PARDOBM	W8PARDOBY	W8PARAGE	W8DPARAGE	W8NCHPRES	W8NCHEVLV	W8CHDLIVE	W8ABCHG91	W8COPA	W8SEOF
NS11695G	1	1	8	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11710X	1	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11717E	1	2	5	2012	-1	3	1	-1	-1	-9	-9	34	34	1	-1	-1	-1	1	1
NS11727Z	1	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11731M	1	1	9	2007	-1	8	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11731M	2	2	1	2009	-1	7	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11731M	3	2	2	2014	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11738V	1	1	2	2013	-1	2	1	-1	11	-9	-9	25	25	1	-1	-1	-1	2	-1
NS11741G	1	1	12	2007	-1	8	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11741G	2	2	12	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11751B	1	1	1	2009	-1	7	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS11777X	1	2	9	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11781K	1	2	12	2013	-1	2	1	-1	-1	3	1992	-1	23	3	2	1	1	-1	-1
NS11799N	1	1	11	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11805K	1	1	1	2007	-1	9	1	2	-9	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS11805K	2	2	12	2008	-1	7	1	2	-9	-1	-1	-1	-1	1	-1	-1	-1	1	3
