NSID	W8BENID	W8BENA	W8BENP2	W8BENA3	W8BENW
NS12165H	28	400	2	-1	92
NS12165H	29	-8	-8	-1	-1
NS12170X	21	-8	2	-1	-1
NS12175C	21	80	2	-1	18
NS12185X	21	80	2	-1	18
NS12185X	23	80	2	-1	18
NS12195R	1	62	1	-1	62
NS12201N	22	55	4	2	27
NS12212J	21	35	4	1	35
NS12212J	22	188	4	2	94
NS12212J	23	0	4	15	-8
NS12216N	21	20	1	-1	20
NS12216N	23	7	1	-1	7
NS12216N	28	350	2	-1	80
NS12216N	29	10	2	-1	2
NS12218Q	21	130	4	4	32
NS12223E	2	146	4	2	73
NS12223E	21	134	4	4	33
NS12223E	23	470	4	4	117
NS12223E	28	0	1	-1	0
NS12223E	29	0	4	4	0
NS12229L	2	80	4	2	40
NS12229L	21	48	4	1	48
NS12229L	23	198	4	1	198
NS12229L	28	97	4	1	97
NS12229L	29	97	4	1	97
NS12232Y	21	20	1	-1	20
NS12232Y	22	2	1	-1	2
NS12232Y	23	3	1	-1	3
NS12243T	21	33	1	-1	33
NS12243T	22	74	1	-1	74
NS12243T	23	117	1	-1	117
NS12243T	28	21	1	-1	21
NS12259V	21	80	4	4	20
NS12275E	1	89	4	2	44
NS12275E	21	81	2	-1	18
NS12275E	23	63	1	-1	63
NS12275E	28	85	1	-1	85
NS12275E	29	48	2	-1	11
NS12277G	21	33	1	-1	33
NS12277G	23	280	1	-1	280
NS12277G	28	114	1	-1	114
NS12277G	29	23	1	-1	23
NS12278H	21	20	1	-1	20
NS12278H	23	62	1	-1	62
NS12278H	28	85	1	-1	85
NS12278H	29	15	1	-1	15
NS12285Z	21	20	1	-1	20
NS12285Z	22	7	1	-1	7
NS12285Z	23	64	1	-1	64
NS12297W	1	0	-9	-1	-8
NS12297W	21	0	1	-1	0
NS12306W	21	52	1	-1	52
NS12306W	23	82	2	-1	18
NS12315P	21	30	1	-1	30
NS12315P	22	38	1	-1	38
NS12315P	23	100	1	-1	100
NS12315P	28	100	2	-1	23
NS12315P	29	50	2	-1	11
NS12317R	21	80	2	-1	18
NS12325J	21	80	2	-1	18
NS12336E	2	146	4	2	73
NS12336E	21	20	1	-1	20
NS12336E	23	64	1	-1	64
NS12338G	21	82	2	-1	18
NS12342V	21	82	2	-1	18
NS12355S	6	62	1	-1	62
NS12355S	21	20	1	-1	20
NS12355S	22	290	4	4	72
NS12355S	23	121	1	-1	121
NS12368Q	21	82	4	4	20
NS12370B	21	80	2	-1	18
NS12371C	21	82	1	-1	82
NS12376H	4	120	4	2	60
NS12376H	21	49	1	-1	49
NS12376H	23	168	1	-1	168
NS12376H	28	90	1	-1	90
NS12376H	29	0	1	-1	0
NS12382Y	21	82	2	-1	18
NS12382Y	23	25	1	-1	25
NS12384A	21	192	4	4	48
NS12384A	22	0	4	4	0
NS12384A	23	215	1	-1	215
NS12384A	28	89	1	-1	89
NS12384A	29	0	4	1	0
NS12400R	21	80	4	5	18
NS12414Q	21	20	1	-1	20
NS12430A	21	80	2	-1	18
NS12448D	21	190	2	-1	43
NS12448D	23	480	4	5	110
NS12448D	28	196	4	1	196
NS12472F	1	73	4	1	73
NS12475J	21	82	4	4	20
NS12478M	28	20	1	-1	20
NS12478M	29	-8	-8	-1	-1
NS12486E	7	220	2	-1	50
NS12486E	21	140	2	-1	32
NS12486E	22	180	1	-1	180
NS12486E	23	180	1	-1	180
NS12490S	2	60	4	2	30
NS12490S	21	47	4	1	47
NS12490S	23	688	4	4	172
NS12490S	28	498	2	-1	115
NS12496Z	21	82	2	-1	18
NS12496Z	22	110	2	-1	25
NS12496Z	23	110	2	-1	25
NS12497A	29	0	2	-1	0
NS12502W	4	139	4	2	69
NS12516V	21	34	4	1	34
NS12539M	21	82	2	-1	18
NS12539M	23	60	2	-1	13
NS12543A	1	115	1	-1	115
NS12543A	21	145	4	4	36
NS12543A	23	628	4	4	157
NS12544B	2	60	4	2	30
NS12544B	6	250	4	5	57
NS12544B	7	460	4	5	106
NS12556Y	2	90	4	2	45
NS12556Y	30	60	1	-1	60
NS12558A	4	373	4	2	186
NS12558A	7	329	4	4	82
NS12558A	28	364	4	4	91
NS12558A	30	0	-8	-1	-8
NS12566S	21	48	1	-1	48
NS12566S	22	70	1	-1	70
NS12566S	23	169	1	-1	169
NS12566S	28	350	4	2	175
NS12566S	29	6	1	-1	6
NS12580A	21	930	2	-1	214
NS12580A	23	950	2	-1	219
NS12581B	2	-9	-9	-1	-1
NS12581B	21	-9	-9	-1	-1
NS12581B	22	-9	-9	-1	-1
NS12581B	23	-9	-9	-1	-1
NS12581B	28	-9	-9	-1	-1
NS12581B	29	-9	-9	-1	-1
NS12610Q	21	200	2	-1	46
NS12611R	1	210	4	2	105
NS12611R	7	174	4	4	43
NS12626R	28	-8	-8	-1	-1
NS12626R	29	-8	-8	-1	-1
NS12638N	21	80	2	-1	18
NS12639P	21	30	4	4	7
NS12639P	28	450	2	-1	103
NS12639P	29	107	4	5	24
NS12643C	21	80	2	-1	18
NS12647G	21	-9	-9	-1	-1
NS12648H	21	80	2	-1	18
NS12665T	1	100	4	2	50
NS12673L	21	34	1	-1	34
NS12689M	3	317	4	2	158
NS12689M	7	-8	-8	-1	-1
NS12689M	21	34	1	-1	34
NS12689M	23	115	1	-1	115
NS12689M	28	-8	-8	-1	-1
NS12689M	29	-8	-8	-1	-1
NS12713W	21	190	4	4	47
NS12713W	23	160	4	1	160
NS12718B	21	80	2	-1	18
NS12718B	22	110	2	-1	25
NS12718B	23	70	1	-1	70
NS12730G	1	75	1	-1	75
NS12735M	21	20	1	-1	20
NS12735M	22	62	1	-1	62
NS12735M	23	63	1	-1	63
NS12735M	28	250	2	-1	57
NS12735M	29	48	2	-1	11
NS12751X	4	210	4	2	105
NS12751X	28	-8	-8	-1	-1
NS12751X	29	-8	-8	-1	-1
NS12781F	4	250	4	2	125
NS12781F	5	130	4	2	65
NS12781F	7	330	2	-1	76
NS12781F	28	340	2	-1	78
NS12781F	29	50	-8	-1	-8
NS12798H	1	147	4	2	73
NS12814Z	18	48	2	-1	11
NS12823S	21	82	2	-1	18
NS12836Q	21	192	4	4	48
NS12836Q	22	200	4	1	200
NS12836Q	23	0	4	1	0
NS12843G	21	21	1	-1	21
NS12851Z	2	70	1	-1	70
NS12851Z	21	48	1	-1	48
NS12851Z	23	170	1	-1	170
NS12851Z	28	110	1	-1	110
NS12851Z	29	60	4	5	13
NS12857F	4	374	4	2	187
NS12857F	7	308	2	-1	71
NS12857F	28	265	4	2	132
NS12857F	29	-8	-8	-1	-1
NS12860S	21	118	4	4	29
NS12864X	21	138	4	4	34
NS12864X	23	106	1	-1	106
NS12864X	28	124	4	4	31
NS12864X	29	-8	-8	-1	-1
NS12865Y	2	73	4	2	36
NS12865Y	21	86	2	-1	19
NS12880G	21	82	2	-1	18
NS12896H	4	-8	-8	-1	-1
NS12896H	7	-8	-8	-1	-1
NS12899L	21	137	4	4	34
NS12899L	22	110	4	4	27
NS12899L	23	200	4	4	50
NS12899L	28	0	-8	-1	-8
NS12904G	21	82	4	4	20
NS12925X	21	70	4	4	17
NS12938V	21	80	2	-1	18
NS12944K	21	20	1	-1	20
NS12944K	22	130	1	-1	130
NS12944K	23	0	1	-1	0
NS12958J	21	17	1	-1	17
NS12963Y	21	80	2	-1	18
NS12997L	29	-8	4	15	-1
NS13000D	21	-9	-9	-1	-1
NS13000D	22	-9	-9	-1	-1
NS13000D	23	-9	-9	-1	-1
NS13002F	21	82	2	-1	18
NS13002F	22	300	2	-1	69
NS13002F	23	350	2	-1	80
NS13007L	21	82	2	-1	18
NS13015D	21	-9	-9	-1	-1
NS13015D	22	-9	-9	-1	-1
NS13015D	23	-9	-9	-1	-1
NS13024X	21	80	4	4	20
NS13035S	21	137	4	4	34
NS13035S	22	60	1	-1	60
NS13035S	23	115	1	-1	115
NS13035S	28	240	2	-1	55
NS13035S	29	746	3	-1	14
NS13036T	1	140	4	2	70
NS13036T	21	-8	1	-1	-1
NS13036T	23	58	1	-1	58
NS13036T	28	131	1	-1	131
NS13036T	29	-8	1	-1	-1
NS13056H	21	82	2	-1	18
NS13056H	23	192	2	-1	44
NS13062Y	21	17	1	-1	17
NS13077Y	21	80	4	5	18
NS13077Y	22	40	1	-1	40
NS13081L	1	100	4	2	50
NS13117H	21	82	4	4	20
NS13117H	23	507	2	-1	117
NS13124Z	24	50	1	-1	50
NS13128D	21	-8	-8	-1	-1
NS13129E	21	137	4	4	34
NS13134T	21	82	4	4	20
NS13134T	23	130	4	4	32
NS13141K	2	100	1	-1	100
NS13141K	4	100	1	-1	100
NS13141K	7	450	2	-1	103
NS13165D	28	8080	4	15	-8
NS13165D	29	-8	-8	-1	-1
NS13166E	21	30	1	-1	30
NS13192J	21	82	4	4	20
NS13224B	4	-9	-9	-1	-1
NS13224B	7	-9	4	15	-1
NS13224B	21	82	4	4	20
NS13224B	23	-8	4	15	-1
NS13229G	21	-8	1	-1	-1
NS13239B	21	80	2	-1	18
NS13239B	23	90	2	-1	20
NS13255L	18	0	-8	-1	-8
NS13261B	21	80	2	-1	18
NS13262C	21	190	4	4	47
NS13262C	22	200	4	1	200
NS13262C	23	200	4	1	200
NS13275A	21	137	4	4	34
NS13277C	21	80	2	-1	18
NS13277C	22	-9	-9	-1	-1
NS13277C	23	-9	-9	-1	-1
NS13283S	1	110	4	2	55
NS13283S	4	240	4	2	120
NS13283S	6	62	1	-1	62
NS13283S	21	70	1	-1	70
NS13283S	23	20	1	-1	20
NS13283S	28	11	1	-1	11
NS13283S	29	-8	-8	-1	-1
NS13297R	21	47	1	-1	47
NS13297R	22	6	1	-1	6
NS13297R	23	47	1	-1	47
NS13301L	2	146	4	2	73
NS13301L	21	20	1	-1	20
NS13301L	23	56	1	-1	56
NS13301L	28	-8	-8	-1	-1
NS13301L	29	-8	-8	-1	-1
NS13303N	4	100	4	1	100
NS13317M	21	21	1	-1	21
NS13317M	22	165	2	-1	38
NS13317M	23	161	1	-1	161
NS13318N	4	250	4	2	125
NS13318N	7	460	2	-1	106
NS13319P	21	21	1	-1	21
NS13319P	22	65	1	-1	65
NS13319P	23	63	1	-1	63
NS13319P	28	150	4	2	75
NS13319P	29	0	-8	-1	-8
