NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS25656X	11719	117	.999390410004508	3	6	2008	2	1	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25658Z	10402	104	1.09882868421392	3	6	2008	3	-91	-91	1	1	-91	-91	1	1	1	2	-91	-91	-91	-91	21	41	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	5	2	2	1	1	0	1	-91	6	14.3	3.1	8	1
NS25660K	13510	135	.420261499057035	1	7	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	8	8	4	4	1	1	0	-98	-91	-98	14.3	-98	8	-98
NS25661L	10806	108	.99044032597359	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	-1	2	-91	-91	-91	-91	12	-95	1	1	2	2	-91	-91	-91	-91	23	80	1	1	6	6	3	3	1	1	1	1	7	4	3.1	5	1	2
NS25663N	13704	137	.189688471556133	3	6	2008	1	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25664P	12020	120	1.11695986016046	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	-1	-1	2	-91	-91	-91	-95	-95	1	1	2	1	-91	-91	-91	-91	71	52	1	1	8	8	4	4	1	1	1	1	7	-94	12.1	16	6	-94
NS25665Q	12805	128	.253523905369332	3	6	2008	2	1	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	3	-91	1	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25666R	10409	104	.264119019655419	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	3	-91	-91	-91	-91	54	15	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	7	3	3	1	1	0	1	-91	6	14.3	10	8	5
NS25667S	12601	126	.947516036237095	3	6	2008	1	-91	-91	2	-91	-1	-91	1	1	-1	-1	-1	-91	-91	-91	82	51	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	4	2	2	1	1	0	1	-91	7	14.3	13.3	8	7
NS25668T	10838	108	1.03076345424791	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	23	75	1	1	2	2	-91	-91	-91	-91	23	80	1	1	7	7	3	3	1	1	1	1	7	6	4.1	3.1	2	1
NS25669V	10426	104	1.18147852851592	1	6	2008	1	-91	-91	1	-1	-91	-91	1	1	1	-1	2	-91	-91	-91	81	34	1	1	2	1	-91	-91	-91	-91	11	-95	1	1	6	7	3	3	1	1	1	1	5	6	5	10	2	5
NS25670E	12351	123	1.46949077325804	1	8	2008	1	-91	-91	1	-1	-91	-91	1	2	-91	-91	-91	2	2	-91	12	92	1	1	2	-1	2	-91	-91	-91	12	92	1	1	4	4	2	2	1	1	1	2	5	2	5	8.1	2	4
NS25671F	11756	117	1.10126170828097	1	7	2008	1	-91	-91	-1	-91	-91	-91	1	1	1	2	-91	-91	-91	-91	-95	-95	1	1	1	2	-91	-91	-91	-91	42	80	1	1	6	7	3	3	1	1	1	1	6	-94	6	16	2	-94
NS25672G	12301	123	1.14469679748002	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	1	-91	-91	-91	-91	23	75	1	1	2	2	-91	-91	-91	-91	92	-95	1	1	5	5	2	2	1	1	1	1	7	6	12.2	3.1	6	1
NS25673H	10902	109	.470105975306198	1	6	2008	1	-91	-91	1	-1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	2	-91	-91	-91	-91	23	80	1	-98	5	-91	2	-91	1	-91	1	-98	7	-98	4.1	-98	2	-98
NS25674J	12510	125	1.14221557754553	3	6	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	-91	-91	-91	1	1	-91	21	72	1	1	5	5	2	2	1	1	2	0	3	-91	3.4	14.3	1	8
NS25675K	12806	128	.348368019678927	1	6	2008	1	-91	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	1	-91	-91	-91	-91	92	92	1	-98	6	-91	3	-91	1	-91	1	-98	7	-98	13.1	-98	7	-98
NS25676L	11726	117	1.02460810660791	2	10	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	2	-91	-91	-91	-91	41	75	1	-98	6	-91	3	-91	1	-91	1	-98	7	-98	7.1	-98	3	-98
NS25677M	10409	104	1.08256757629281	1	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	41	34	1	1	1	2	-91	-91	-91	-91	23	80	1	1	7	8	3	4	1	1	1	1	6	6	4.1	6	2	2
NS25681A	10407	104	1.42763265636565	2	9	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	2	-91	-91	-91	-91	92	85	1	-98	6	-91	3	-91	1	-91	1	-98	7	-98	12.2	-98	6	-98
NS25683C	12524	125	.385513620685658	3	6	2008	1	-91	-91	1	2	-91	-91	-1	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	7	3	3	1	1	0	-1	-91	-94	14.3	17	8	-94
NS25685E	11905	119	.979357387558254	3	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	53	45	1	1	1	3	-91	-91	-91	-91	41	80	1	1	5	5	2	2	1	1	1	2	6	3	6	9.1	2	4
NS25687G	10834	108	.997275636802422	3	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	24	74	1	1	-1	-1	-1	-91	-91	-91	32	85	1	1	5	5	2	2	1	1	1	2	7	3	12.1	3.3	6	1
NS25688H	10908	109	.447552658106715	1	6	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	4	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25689J	12905	129	.494715578376797	1	8	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	4	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25692W	12912	129	.293631591668536	1	7	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	2	2	-91	24	74	1	1	-1	2	-91	-91	-91	-91	32	75	1	1	6	6	3	3	1	1	1	2	7	2	4.1	3.3	2	1
