idacirscore_y,w2sexyp,w4ghq12scr,w2ethnicyp,w2fat5yp,bullied,truant,w2hiqualgmp,w3outschbyp,w7heflag,w9danvqh,w9dvnvqh,w9drussell,imdrscore_y,gor_x,marital_status_MP,w4lnpar,w3parqualmp,w4readsyp,w4concenyp,w4noconfyp,drugs,job_attd,w6univyp,w9_income_above_median
0.45,0.0,0.0,1.0,,0.05263,1,2.0,1.0,1,4.0,5.0,2.0,54,2,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0
0.06,0.0,0.0,1.0,3.0,0.21053,0,2.0,1.0,2,3.0,2.0,3.0,3,6,3.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0
0.61,0.0,,1.0,2.0,0.10526,0,3.0,1.0,2,1.0,2.0,3.0,68,4,2.0,2.0,4.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0
0.43,0.0,0.0,3.0,3.0,0.05263,0,5.0,1.0,2,3.0,3.0,3.0,49,5,2.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
0.05,1.0,,1.0,2.0,0.10526,0,3.0,2.0,2,3.0,2.0,3.0,8,9,3.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0
0.21,0.0,2.0,1.0,2.0,0.05263,0,3.0,1.0,2,6.0,1.0,3.0,33,5,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0
0.23,0.0,0.0,1.0,4.0,0.05263,1,2.0,2.0,2,4.0,6.0,3.0,29,2,3.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0
0.24,0.0,2.0,3.0,,0.0,0,5.0,1.0,2,3.0,3.0,3.0,27,6,2.0,2.0,,1.0,2.0,1.0,0.0,3.0,0.0,0.0
0.05,0.0,4.0,2.0,2.0,0.05263,0,2.0,2.0,1,4.0,6.0,2.0,5,6,2.0,2.0,3.0,1.0,2.0,,1.0,3.0,1.0,1.0
0.46,1.0,0.0,1.0,1.0,0.05263,0,3.0,2.0,1,5.0,6.0,2.0,57,2,2.0,2.0,4.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0
0.09,1.0,0.0,3.0,2.0,0.05263,0,3.0,1.0,2,2.0,3.0,3.0,13,5,3.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0
0.89,0.0,3.0,3.0,2.0,0.05263,0,2.0,2.0,1,3.0,2.0,3.0,68,7,1.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0
0.11,1.0,5.0,1.0,2.0,0.10526,1,2.0,2.0,1,4.0,6.0,1.0,14,2,2.0,2.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0
0.02,0.0,0.0,1.0,2.0,0.05263,0,5.0,2.0,1,4.0,1.0,2.0,9,3,1.0,1.0,3.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0
0.31,1.0,0.0,1.0,3.0,0.05263,0,2.0,1.0,2,,,3.0,32,1,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0
